cause_name,sex,age,deaths
Cysticercosis,Male,65 to 69,2.207225776
Cysticercosis,Male,70 to 74,1.380161262
Cysticercosis,Male,75 to 79,0.76525276
Cysticercosis,Male,80 plus,0.613656142
Cysticercosis,Male,0 to 04,0.343879368
Dengue,Female,10 to 14,17.81046177
Dengue,Female,15 to 19,32.84108871
Dengue,Female,20 to 24,70.36376208
Dengue,Female,25 to 29,123.7709544
Dengue,Female,30 to 34,119.9529385
Dengue,Female,35 to 39,124.0263483
Dengue,Female,40 to 44,117.0232168
Dengue,Female,45 to 49,28.95583295
Dengue,Female,05 to 09,29.24054032
Dengue,Female,50 to 54,24.18355918
Dengue,Female,55 to 59,30.12887447
Dengue,Female,60 to 64,27.86703089
Dengue,Female,65 to 69,50.33883748
Dengue,Female,70 to 74,36.08644962
Dengue,Female,75 to 79,23.37044273
Dengue,Female,80 plus,61.92572202
Dengue,Female,0 to 04,77.00430492
Dengue,Male,10 to 14,10.66189722
Dengue,Male,15 to 19,32.16605543
Dengue,Male,20 to 24,29.37012904
Dengue,Male,25 to 29,31.00704888
Dengue,Male,30 to 34,32.41884895
Dengue,Male,35 to 39,35.31876141
Dengue,Male,40 to 44,27.86762756
Dengue,Male,45 to 49,36.97516233
Dengue,Male,05 to 09,29.07622887
Dengue,Male,50 to 54,39.35025716
Dengue,Male,55 to 59,35.85414063
Dengue,Male,60 to 64,53.54415822
Dengue,Male,65 to 69,41.49584038
Dengue,Male,70 to 74,38.00115087
Dengue,Male,75 to 79,29.93388551
Dengue,Male,80 plus,45.4990961
Dengue,Male,0 to 04,119.0730153
Depressive disorders,Female,10 to 14,NA
Depressive disorders,Female,15 to 19,NA
Depressive disorders,Female,20 to 24,NA
Depressive disorders,Female,25 to 29,NA
Depressive disorders,Female,30 to 34,NA
Depressive disorders,Female,35 to 39,NA
Depressive disorders,Female,40 to 44,NA
Depressive disorders,Female,45 to 49,NA
Depressive disorders,Female,05 to 09,NA
Depressive disorders,Female,50 to 54,NA
Depressive disorders,Female,55 to 59,NA
Depressive disorders,Female,60 to 64,NA
Depressive disorders,Female,65 to 69,NA
Depressive disorders,Female,70 to 74,NA
Depressive disorders,Female,75 to 79,NA
Depressive disorders,Female,80 plus,NA
Depressive disorders,Female,0 to 04,NA
Depressive disorders,Male,10 to 14,NA
Depressive disorders,Male,15 to 19,NA
Depressive disorders,Male,20 to 24,NA
Depressive disorders,Male,25 to 29,NA
Depressive disorders,Male,30 to 34,NA
Depressive disorders,Male,35 to 39,NA
Depressive disorders,Male,40 to 44,NA
Depressive disorders,Male,45 to 49,NA
Depressive disorders,Male,05 to 09,NA
Depressive disorders,Male,50 to 54,NA
Depressive disorders,Male,55 to 59,NA
Depressive disorders,Male,60 to 64,NA
Depressive disorders,Male,65 to 69,NA
Depressive disorders,Male,70 to 74,NA
Depressive disorders,Male,75 to 79,NA
Depressive disorders,Male,80 plus,NA
Depressive disorders,Male,0 to 04,NA
Diabetes mellitus,Female,10 to 14,179.7614882
Diabetes mellitus,Female,15 to 19,313.1564456
Diabetes mellitus,Female,20 to 24,859.2718882
Diabetes mellitus,Female,25 to 29,1036.665242
Diabetes mellitus,Female,30 to 34,1205.453287
Diabetes mellitus,Female,35 to 39,1545.487476
Diabetes mellitus,Female,40 to 44,1874.492991
Diabetes mellitus,Female,45 to 49,3902.289058
Diabetes mellitus,Female,05 to 09,59.83484532
Diabetes mellitus,Female,50 to 54,5533.090167
Diabetes mellitus,Female,55 to 59,9209.903267
Diabetes mellitus,Female,60 to 64,12978.138
Diabetes mellitus,Female,65 to 69,15779.96088
Diabetes mellitus,Female,70 to 74,18474.14116
Diabetes mellitus,Female,75 to 79,16333.59622
Diabetes mellitus,Female,80 plus,21634.46374
Diabetes mellitus,Female,0 to 04,642.2205824
Diabetes mellitus,Male,10 to 14,102.4137642
Diabetes mellitus,Male,15 to 19,163.4604246
Diabetes mellitus,Male,20 to 24,953.5078607
Diabetes mellitus,Male,25 to 29,1105.961471
Diabetes mellitus,Male,30 to 34,2258.189537
Diabetes mellitus,Male,35 to 39,3080.116725
Diabetes mellitus,Male,40 to 44,3406.023918
Diabetes mellitus,Male,45 to 49,5473.150335
Diabetes mellitus,Male,05 to 09,85.47457792
Diabetes mellitus,Male,50 to 54,8029.600969
Diabetes mellitus,Male,55 to 59,12847.53086
Diabetes mellitus,Male,60 to 64,15938.45197
Diabetes mellitus,Male,65 to 69,16954.93206
Diabetes mellitus,Male,70 to 74,18265.96653
Diabetes mellitus,Male,75 to 79,17171.58478
Diabetes mellitus,Male,80 plus,19824.17836
Diabetes mellitus,Male,0 to 04,552.2304588
Diarrheal diseases,Female,10 to 14,3872.577389
Diarrheal diseases,Female,15 to 19,3686.166162
Diarrheal diseases,Female,20 to 24,3452.424971
Diarrheal diseases,Female,25 to 29,2730.836228
Diarrheal diseases,Female,30 to 34,2601.563766
Diarrheal diseases,Female,35 to 39,2641.275258
Diarrheal diseases,Female,40 to 44,3725.171183
Diarrheal diseases,Female,45 to 49,5247.652561
Diarrheal diseases,Female,05 to 09,7893.314617
Diarrheal diseases,Female,50 to 54,6366.393299
Diarrheal diseases,Female,55 to 59,11517.10407
Diarrheal diseases,Female,60 to 64,15197.00385
Diarrheal diseases,Female,65 to 69,19866.00116
Diarrheal diseases,Female,70 to 74,24118.95825
Diarrheal diseases,Female,75 to 79,25038.79571
Diarrheal diseases,Female,80 plus,49270.96073
Diarrheal diseases,Female,0 to 04,45598.30237
Diarrheal diseases,Male,10 to 14,3502.159989
Diarrheal diseases,Male,15 to 19,3272.213893
Diarrheal diseases,Male,20 to 24,2571.270318
Diarrheal diseases,Male,25 to 29,2631.771115
Diarrheal diseases,Male,30 to 34,2686.515948
Diarrheal diseases,Male,35 to 39,3527.71288
Diarrheal diseases,Male,40 to 44,4809.233356
Diarrheal diseases,Male,45 to 49,6455.180768
Diarrheal diseases,Male,05 to 09,6914.072418
Diarrheal diseases,Male,50 to 54,7870.99195
Diarrheal diseases,Male,55 to 59,12141.56141
Diarrheal diseases,Male,60 to 64,13413.09851
Diarrheal diseases,Male,65 to 69,14008.0204
Diarrheal diseases,Male,70 to 74,18011.22905
Diarrheal diseases,Male,75 to 79,16139.39611
Diarrheal diseases,Male,80 plus,27820.04883
Diarrheal diseases,Male,0 to 04,34627.01018
Diphtheria,Female,10 to 14,44.22081267
Diphtheria,Female,15 to 19,22.0352998
Diphtheria,Female,20 to 24,12.87020791
Diphtheria,Female,25 to 29,8.890881263
Diphtheria,Female,30 to 34,9.36049445
Diphtheria,Female,35 to 39,12.39798396
Diphtheria,Female,40 to 44,11.02656902
Diphtheria,Female,45 to 49,19.6556083
Diphtheria,Female,05 to 09,113.4050746
Diphtheria,Female,50 to 54,18.03612224
Diphtheria,Female,55 to 59,15.42744008
Diphtheria,Female,0 to 04,429.9375988
Diphtheria,Male,10 to 14,47.21818091
Diphtheria,Male,15 to 19,23.93199516
Diphtheria,Male,20 to 24,15.67410292
Diphtheria,Male,25 to 29,13.02654005
Diphtheria,Male,30 to 34,17.01718015
Diphtheria,Male,35 to 39,21.1194066
Diphtheria,Male,40 to 44,23.53435685
Diphtheria,Male,45 to 49,38.63276667
Diphtheria,Male,05 to 09,105.8108089
Diphtheria,Male,50 to 54,26.53107679
Diphtheria,Male,55 to 59,21.97348748
Diphtheria,Male,0 to 04,319.296199
Drowning,Female,10 to 14,2067.838302
Drowning,Female,15 to 19,2476.103613
Drowning,Female,20 to 24,1752.823068
Drowning,Female,25 to 29,1550.369192
Drowning,Female,30 to 34,998.7356259
Drowning,Female,35 to 39,1152.473723
Drowning,Female,40 to 44,1011.411693
Drowning,Female,45 to 49,950.7617819
Drowning,Female,05 to 09,2645.271401
Drowning,Female,50 to 54,1168.256215
Drowning,Female,55 to 59,1249.865068
Drowning,Female,60 to 64,1512.950983
Drowning,Female,65 to 69,1589.214369
Drowning,Female,70 to 74,1543.003253
Drowning,Female,75 to 79,1368.323381
Drowning,Female,80 plus,1727.715284
Drowning,Female,0 to 04,7395.080216
Drowning,Male,10 to 14,3330.186566
Drowning,Male,15 to 19,4905.878573
Drowning,Male,20 to 24,4714.403489
Drowning,Male,25 to 29,3966.049288
Drowning,Male,30 to 34,3396.747548
Drowning,Male,35 to 39,3765.459208
Drowning,Male,40 to 44,2995.069884
Drowning,Male,45 to 49,2985.213068
Drowning,Male,05 to 09,3985.310649
Drowning,Male,50 to 54,2608.685008
Drowning,Male,55 to 59,3224.021045
Drowning,Male,60 to 64,2468.643522
Drowning,Male,65 to 69,2007.380868
Drowning,Male,70 to 74,1657.672326
Drowning,Male,75 to 79,1035.486206
Drowning,Male,80 plus,1230.474768
Drowning,Male,0 to 04,7106.933161
Drug use disorders,Female,10 to 14,NA
Drug use disorders,Female,15 to 19,16.71987076
Drug use disorders,Female,20 to 24,21.7473408
Drug use disorders,Female,25 to 29,20.3436515
Drug use disorders,Female,30 to 34,19.98743686
Drug use disorders,Female,35 to 39,28.26829496
Drug use disorders,Female,40 to 44,33.78426341
Drug use disorders,Female,45 to 49,61.73871789
Drug use disorders,Female,50 to 54,116.8542748
Drug use disorders,Female,55 to 59,108.126631
Drug use disorders,Female,60 to 64,110.1014303
Drug use disorders,Female,65 to 69,49.93959942
Drug use disorders,Female,70 to 74,37.16665481
Drug use disorders,Female,75 to 79,31.40664905
Drug use disorders,Female,80 plus,43.28771181
Drug use disorders,Female,0 to 04,69.06985496
Drug use disorders,Male,10 to 14,NA
Drug use disorders,Male,15 to 19,29.99860481
Drug use disorders,Male,20 to 24,54.6311314
Drug use disorders,Male,25 to 29,154.4447035
Drug use disorders,Male,30 to 34,168.3427521
Drug use disorders,Male,35 to 39,288.3078827
Drug use disorders,Male,40 to 44,310.4021259
Drug use disorders,Male,45 to 49,358.0645114
Drug use disorders,Male,50 to 54,578.9716537
Drug use disorders,Male,55 to 59,484.2337529
Drug use disorders,Male,60 to 64,523.7088239
Drug use disorders,Male,65 to 69,103.3215303
Drug use disorders,Male,70 to 74,120.1896784
Drug use disorders,Male,75 to 79,113.0543659
Drug use disorders,Male,80 plus,97.09974166
Drug use disorders,Male,0 to 04,60.73457921
Eating disorders,Female,10 to 14,2.967664717
Eating disorders,Female,15 to 19,8.755187173
Eating disorders,Female,20 to 24,12.14983243
Eating disorders,Female,25 to 29,12.56881513
Eating disorders,Female,30 to 34,9.234932986
Eating disorders,Female,35 to 39,6.924249889
Eating disorders,Female,40 to 44,5.661819025
Eating disorders,Female,45 to 49,5.189140745
Eating disorders,Female,05 to 09,3.862942373
Eating disorders,Male,10 to 14,0.362641343
Eating disorders,Male,15 to 19,1.185606181
Eating disorders,Male,20 to 24,2.046972104
Eating disorders,Male,25 to 29,2.521629578
Eating disorders,Male,30 to 34,2.318611512
Eating disorders,Male,35 to 39,1.925934348
Eating disorders,Male,40 to 44,1.601003421
Eating disorders,Male,45 to 49,1.322965025
Eating disorders,Male,05 to 09,0.500281358
Encephalitis,Female,10 to 14,1655.903025
Encephalitis,Female,15 to 19,1132.673758
Encephalitis,Female,20 to 24,1347.906197
Encephalitis,Female,25 to 29,632.7751208
Encephalitis,Female,30 to 34,478.0348862
Encephalitis,Female,35 to 39,575.2654819
Encephalitis,Female,40 to 44,614.9673567
Encephalitis,Female,45 to 49,708.1079047
Encephalitis,Female,05 to 09,1151.982664
Encephalitis,Female,50 to 54,820.3494115
Encephalitis,Female,55 to 59,856.648497
Encephalitis,Female,60 to 64,1000.173661
Encephalitis,Female,65 to 69,856.1537555
Encephalitis,Female,70 to 74,284.1285637
Encephalitis,Female,75 to 79,242.7153495
Encephalitis,Female,80 plus,287.1458735
Encephalitis,Female,0 to 04,7902.41944
Encephalitis,Male,10 to 14,1128.861424
Encephalitis,Male,15 to 19,835.9942521
Encephalitis,Male,20 to 24,719.8152009
Encephalitis,Male,25 to 29,1057.762878
Encephalitis,Male,30 to 34,711.3951207
Encephalitis,Male,35 to 39,1016.312957
Encephalitis,Male,40 to 44,579.1660149
Encephalitis,Male,45 to 49,698.7546104
Encephalitis,Male,05 to 09,1178.841822
Encephalitis,Male,50 to 54,646.8099946
Encephalitis,Male,55 to 59,832.9822141
Encephalitis,Male,60 to 64,835.1682474
Encephalitis,Male,65 to 69,990.0784852
Encephalitis,Male,70 to 74,589.4632329
Encephalitis,Male,75 to 79,262.4374009
Encephalitis,Male,80 plus,325.3214536
Encephalitis,Male,0 to 04,4213.842702
Endocarditis,Female,10 to 14,38.08924066
Endocarditis,Female,15 to 19,89.11659429
Endocarditis,Female,20 to 24,121.1110238
Endocarditis,Female,25 to 29,139.2996628
Endocarditis,Female,30 to 34,130.6576275
Endocarditis,Female,35 to 39,140.5903072
Endocarditis,Female,40 to 44,182.0801316
Endocarditis,Female,45 to 49,231.5038961
Endocarditis,Female,05 to 09,42.58506464
Endocarditis,Female,50 to 54,213.4724248
Endocarditis,Female,55 to 59,289.2946899
Endocarditis,Female,60 to 64,376.1145064
Endocarditis,Female,65 to 69,384.5847905
Endocarditis,Female,70 to 74,535.9630801
Endocarditis,Female,75 to 79,538.8070104
Endocarditis,Female,80 plus,969.2333184
Endocarditis,Female,0 to 04,194.7127165
Endocarditis,Male,10 to 14,34.16085513
Endocarditis,Male,15 to 19,73.1255583
Endocarditis,Male,20 to 24,133.9569916
Endocarditis,Male,25 to 29,203.5464899
Endocarditis,Male,30 to 34,233.4120434
Endocarditis,Male,35 to 39,317.0874068
Endocarditis,Male,40 to 44,361.2306442
Endocarditis,Male,45 to 49,429.7558087
Endocarditis,Male,05 to 09,18.00399993
Endocarditis,Male,50 to 54,482.9963045
Endocarditis,Male,55 to 59,598.6563084
Endocarditis,Male,60 to 64,659.4286076
Endocarditis,Male,65 to 69,619.2369355
Endocarditis,Male,70 to 74,581.7501214
Endocarditis,Male,75 to 79,526.6435429
Endocarditis,Male,80 plus,805.6651955
Endocarditis,Male,0 to 04,204.5722858
"Endocrine, metabolic, blood, and immune disorders",Female,10 to 14,163.9461935
"Endocrine, metabolic, blood, and immune disorders",Female,15 to 19,208.4860275
"Endocrine, metabolic, blood, and immune disorders",Female,20 to 24,280.2877439
"Endocrine, metabolic, blood, and immune disorders",Female,25 to 29,329.8416879
"Endocrine, metabolic, blood, and immune disorders",Female,30 to 34,230.1169755
"Endocrine, metabolic, blood, and immune disorders",Female,35 to 39,195.6824443
"Endocrine, metabolic, blood, and immune disorders",Female,40 to 44,316.2771609
"Endocrine, metabolic, blood, and immune disorders",Female,45 to 49,715.5294822
"Endocrine, metabolic, blood, and immune disorders",Female,05 to 09,151.156713
"Endocrine, metabolic, blood, and immune disorders",Female,50 to 54,449.1383731
"Endocrine, metabolic, blood, and immune disorders",Female,55 to 59,1211.847745
"Endocrine, metabolic, blood, and immune disorders",Female,60 to 64,604.258473
"Endocrine, metabolic, blood, and immune disorders",Female,65 to 69,1372.308867
"Endocrine, metabolic, blood, and immune disorders",Female,70 to 74,1596.865928
"Endocrine, metabolic, blood, and immune disorders",Female,75 to 79,1083.975877
"Endocrine, metabolic, blood, and immune disorders",Female,80 plus,2514.982579
"Endocrine, metabolic, blood, and immune disorders",Female,0 to 04,2198.55705
"Endocrine, metabolic, blood, and immune disorders",Male,10 to 14,167.5187653
"Endocrine, metabolic, blood, and immune disorders",Male,15 to 19,270.8741383
"Endocrine, metabolic, blood, and immune disorders",Male,20 to 24,321.4426066
"Endocrine, metabolic, blood, and immune disorders",Male,25 to 29,370.9819312
"Endocrine, metabolic, blood, and immune disorders",Male,30 to 34,320.9837032
"Endocrine, metabolic, blood, and immune disorders",Male,35 to 39,575.792116
"Endocrine, metabolic, blood, and immune disorders",Male,40 to 44,611.98062
"Endocrine, metabolic, blood, and immune disorders",Male,45 to 49,680.6514217
"Endocrine, metabolic, blood, and immune disorders",Male,05 to 09,218.4516427
"Endocrine, metabolic, blood, and immune disorders",Male,50 to 54,730.8887661
"Endocrine, metabolic, blood, and immune disorders",Male,55 to 59,916.9505738
"Endocrine, metabolic, blood, and immune disorders",Male,60 to 64,946.4564891
"Endocrine, metabolic, blood, and immune disorders",Male,65 to 69,1015.626037
"Endocrine, metabolic, blood, and immune disorders",Male,70 to 74,925.7580159
"Endocrine, metabolic, blood, and immune disorders",Male,75 to 79,879.8344915
"Endocrine, metabolic, blood, and immune disorders",Male,80 plus,1098.386698
"Endocrine, metabolic, blood, and immune disorders",Male,0 to 04,1009.756343
Epilepsy,Female,10 to 14,306.2414806
Epilepsy,Female,15 to 19,379.6288957
Epilepsy,Female,20 to 24,305.4934694
Epilepsy,Female,25 to 29,370.7076287
Epilepsy,Female,30 to 34,328.5698679
Epilepsy,Female,35 to 39,206.8030764
Epilepsy,Female,40 to 44,170.1631614
Epilepsy,Female,45 to 49,154.8318417
Epilepsy,Female,05 to 09,202.0151948
Epilepsy,Female,50 to 54,163.397548
Epilepsy,Female,55 to 59,89.11874833
Epilepsy,Female,60 to 64,203.1739197
Epilepsy,Female,65 to 69,148.0121547
Epilepsy,Female,70 to 74,186.8527907
Epilepsy,Female,75 to 79,146.4097048
Epilepsy,Female,80 plus,875.7531741
Epilepsy,Female,0 to 04,1036.033314
Epilepsy,Male,10 to 14,584.3022745
Epilepsy,Male,15 to 19,761.9978183
Epilepsy,Male,20 to 24,975.9983694
Epilepsy,Male,25 to 29,913.3779387
Epilepsy,Male,30 to 34,696.6934966
Epilepsy,Male,35 to 39,838.4937358
Epilepsy,Male,40 to 44,486.4017108
Epilepsy,Male,45 to 49,422.6591441
Epilepsy,Male,05 to 09,611.7226355
Epilepsy,Male,50 to 54,365.8405626
Epilepsy,Male,55 to 59,419.8348537
Epilepsy,Male,60 to 64,635.8946256
Epilepsy,Male,65 to 69,447.1564681
Epilepsy,Male,70 to 74,1045.928534
Epilepsy,Male,75 to 79,461.3768568
Epilepsy,Male,80 plus,776.3696751
Epilepsy,Male,0 to 04,2004.034853
Esophageal cancer,Female,15 to 19,18.76071954
Esophageal cancer,Female,20 to 24,77.6108486
Esophageal cancer,Female,25 to 29,122.0773232
Esophageal cancer,Female,30 to 34,367.5045266
Esophageal cancer,Female,35 to 39,701.5900452
Esophageal cancer,Female,40 to 44,1342.642819
Esophageal cancer,Female,45 to 49,1821.276363
Esophageal cancer,Female,50 to 54,2562.053879
Esophageal cancer,Female,55 to 59,3292.091944
Esophageal cancer,Female,60 to 64,3409.417753
Esophageal cancer,Female,65 to 69,3177.730796
Esophageal cancer,Female,70 to 74,4070.326907
Esophageal cancer,Female,75 to 79,3827.793843
Esophageal cancer,Female,80 plus,3652.576472
Esophageal cancer,Male,15 to 19,113.7273008
Esophageal cancer,Male,20 to 24,160.8438863
Esophageal cancer,Male,25 to 29,194.3964708
Esophageal cancer,Male,30 to 34,335.8572068
Esophageal cancer,Male,35 to 39,846.5322819
Esophageal cancer,Male,40 to 44,1437.791249
Esophageal cancer,Male,45 to 49,2493.137237
Esophageal cancer,Male,50 to 54,3848.327379
Esophageal cancer,Male,55 to 59,5325.830219
Esophageal cancer,Male,60 to 64,5462.801274
Esophageal cancer,Male,65 to 69,5657.83069
Esophageal cancer,Male,70 to 74,4529.888887
Esophageal cancer,Male,75 to 79,2375.537139
Esophageal cancer,Male,80 plus,2370.089548
Exposure to forces of nature,Female,10 to 14,55.59794482
Exposure to forces of nature,Female,15 to 19,93.48154588
Exposure to forces of nature,Female,20 to 24,110.6143977
Exposure to forces of nature,Female,25 to 29,103.8531087
Exposure to forces of nature,Female,30 to 34,97.85571024
Exposure to forces of nature,Female,35 to 39,103.0342569
Exposure to forces of nature,Female,40 to 44,107.9933741
Exposure to forces of nature,Female,45 to 49,130.158929
Exposure to forces of nature,Female,05 to 09,0.002441406
Exposure to forces of nature,Female,50 to 54,147.1793117
Exposure to forces of nature,Female,55 to 59,173.1992017
Exposure to forces of nature,Female,60 to 64,179.1518733
Exposure to forces of nature,Female,65 to 69,155.2440932
Exposure to forces of nature,Female,70 to 74,124.0964052
Exposure to forces of nature,Female,75 to 79,72.88937435
Exposure to forces of nature,Female,80 plus,45.005187
Exposure to forces of nature,Female,0 to 04,25.48455788
Exposure to forces of nature,Male,10 to 14,82.40680403
Exposure to forces of nature,Male,15 to 19,128.9187567
Exposure to forces of nature,Male,20 to 24,172.092327
Exposure to forces of nature,Male,25 to 29,189.0709283
Exposure to forces of nature,Male,30 to 34,200.8243807
Exposure to forces of nature,Male,35 to 39,229.8249354
Exposure to forces of nature,Male,40 to 44,243.085357
Exposure to forces of nature,Male,45 to 49,272.8172311
Exposure to forces of nature,Male,05 to 09,0.00165625
Exposure to forces of nature,Male,50 to 54,293.4037791
Exposure to forces of nature,Male,55 to 59,311.1666537
Exposure to forces of nature,Male,60 to 64,275.4512165
Exposure to forces of nature,Male,65 to 69,196.3747483
Exposure to forces of nature,Male,70 to 74,130.0330919
Exposure to forces of nature,Male,75 to 79,55.95490588
Exposure to forces of nature,Male,80 plus,16.73062481
Exposure to forces of nature,Male,0 to 04,26.82593305
Exposure to mechanical forces,Female,10 to 14,786.1373157
Exposure to mechanical forces,Female,15 to 19,708.9457135
Exposure to mechanical forces,Female,20 to 24,602.3098696
Exposure to mechanical forces,Female,25 to 29,583.4473758
Exposure to mechanical forces,Female,30 to 34,557.503939
Exposure to mechanical forces,Female,35 to 39,942.9818411
Exposure to mechanical forces,Female,40 to 44,461.5821656
Exposure to mechanical forces,Female,45 to 49,389.698821
Exposure to mechanical forces,Female,05 to 09,720.9994443
Exposure to mechanical forces,Female,50 to 54,934.6779251
Exposure to mechanical forces,Female,55 to 59,742.5200186
Exposure to mechanical forces,Female,60 to 64,764.5979248
Exposure to mechanical forces,Female,65 to 69,954.9191157
Exposure to mechanical forces,Female,70 to 74,499.4169467
Exposure to mechanical forces,Female,75 to 79,1351.005296
Exposure to mechanical forces,Female,80 plus,798.0978339
Exposure to mechanical forces,Female,0 to 04,3469.074458
Exposure to mechanical forces,Male,10 to 14,922.4800356
Exposure to mechanical forces,Male,15 to 19,2237.095683
Exposure to mechanical forces,Male,20 to 24,3769.757655
Exposure to mechanical forces,Male,25 to 29,3220.27731
Exposure to mechanical forces,Male,30 to 34,2283.153387
Exposure to mechanical forces,Male,35 to 39,3057.797759
Exposure to mechanical forces,Male,40 to 44,2090.957811
Exposure to mechanical forces,Male,45 to 49,2195.464162
Exposure to mechanical forces,Male,05 to 09,1092.284929
Exposure to mechanical forces,Male,50 to 54,2610.933959
Exposure to mechanical forces,Male,55 to 59,2418.120288
Exposure to mechanical forces,Male,60 to 64,2114.611422
Exposure to mechanical forces,Male,65 to 69,1888.825911
Exposure to mechanical forces,Male,70 to 74,989.8122466
Exposure to mechanical forces,Male,75 to 79,853.8520175
Exposure to mechanical forces,Male,80 plus,1180.480282
Exposure to mechanical forces,Male,0 to 04,3427.142683
Falls,Female,10 to 14,568.0869208
Falls,Female,15 to 19,778.2589022
Falls,Female,20 to 24,867.1407032
Falls,Female,25 to 29,672.5900527
Falls,Female,30 to 34,618.4121658
Falls,Female,35 to 39,775.113708
Falls,Female,40 to 44,905.5001765
Falls,Female,45 to 49,1165.767861
Falls,Female,05 to 09,832.1404464
Falls,Female,50 to 54,1497.8935
Falls,Female,55 to 59,1828.238783
Falls,Female,60 to 64,2800.860667
Falls,Female,65 to 69,3500.152552
Falls,Female,70 to 74,4839.104569
Falls,Female,75 to 79,5547.168617
Falls,Female,80 plus,16094.92334
Falls,Female,0 to 04,2486.755294
Falls,Male,10 to 14,1274.341458
Falls,Male,15 to 19,1820.508537
Falls,Male,20 to 24,2450.698509
Falls,Male,25 to 29,2733.249136
Falls,Male,30 to 34,2859.200929
Falls,Male,35 to 39,3689.347029
Falls,Male,40 to 44,3989.167786
Falls,Male,45 to 49,3886.37487
Falls,Male,05 to 09,1159.122826
Falls,Male,50 to 54,4290.623021
Falls,Male,55 to 59,5026.458333
Falls,Male,60 to 64,4845.84723
Falls,Male,65 to 69,5220.92258
Falls,Male,70 to 74,4944.339863
Falls,Male,75 to 79,4847.202184
Falls,Male,80 plus,10435.43869
Falls,Male,0 to 04,2658.859001
"Fire, heat, and hot substances",Female,10 to 14,1389.029735
"Fire, heat, and hot substances",Female,15 to 19,8211.806165
"Fire, heat, and hot substances",Female,20 to 24,11478.49616
"Fire, heat, and hot substances",Female,25 to 29,9085.11323
"Fire, heat, and hot substances",Female,30 to 34,8052.042522
"Fire, heat, and hot substances",Female,35 to 39,5404.768611
"Fire, heat, and hot substances",Female,40 to 44,5317.696195
"Fire, heat, and hot substances",Female,45 to 49,3831.512394
"Fire, heat, and hot substances",Female,05 to 09,1870.953325
"Fire, heat, and hot substances",Female,50 to 54,3303.983361
"Fire, heat, and hot substances",Female,55 to 59,3650.5832
"Fire, heat, and hot substances",Female,60 to 64,4115.546257
"Fire, heat, and hot substances",Female,65 to 69,4120.528
"Fire, heat, and hot substances",Female,70 to 74,3935.51304
"Fire, heat, and hot substances",Female,75 to 79,3612.474551
"Fire, heat, and hot substances",Female,80 plus,4886.095908
"Fire, heat, and hot substances",Female,0 to 04,3722.074779
"Fire, heat, and hot substances",Male,10 to 14,533.8251318
"Fire, heat, and hot substances",Male,15 to 19,1698.958484
"Fire, heat, and hot substances",Male,20 to 24,3735.090747
"Fire, heat, and hot substances",Male,25 to 29,3136.334773
"Fire, heat, and hot substances",Male,30 to 34,4113.584816
"Fire, heat, and hot substances",Male,35 to 39,4190.748083
"Fire, heat, and hot substances",Male,40 to 44,3606.542182
"Fire, heat, and hot substances",Male,45 to 49,2316.48717
"Fire, heat, and hot substances",Male,05 to 09,919.3932675
"Fire, heat, and hot substances",Male,50 to 54,2104.640542
"Fire, heat, and hot substances",Male,55 to 59,2132.84432
"Fire, heat, and hot substances",Male,60 to 64,2127.154829
"Fire, heat, and hot substances",Male,65 to 69,1552.874943
"Fire, heat, and hot substances",Male,70 to 74,1559.500242
"Fire, heat, and hot substances",Male,75 to 79,1169.257369
"Fire, heat, and hot substances",Male,80 plus,1776.829732
"Fire, heat, and hot substances",Male,0 to 04,2653.798984
Foreign body,Female,10 to 14,17.12465697
Foreign body,Female,15 to 19,260.7445887
Foreign body,Female,20 to 24,219.8518994
Foreign body,Female,25 to 29,229.9231663
Foreign body,Female,30 to 34,169.1588354
Foreign body,Female,35 to 39,182.7548604
Foreign body,Female,40 to 44,245.3159376
Foreign body,Female,45 to 49,121.8873583
Foreign body,Female,05 to 09,16.33326038
Foreign body,Female,50 to 54,131.0839153
Foreign body,Female,55 to 59,208.2081663
Foreign body,Female,60 to 64,224.1931663
Foreign body,Female,65 to 69,309.4025481
Foreign body,Female,70 to 74,1783.642993
Foreign body,Female,75 to 79,1652.236499
Foreign body,Female,80 plus,2911.916894
Foreign body,Female,0 to 04,9247.916236
Foreign body,Male,10 to 14,132.7691479
Foreign body,Male,15 to 19,90.3516808
Foreign body,Male,20 to 24,113.5219651
Foreign body,Male,25 to 29,136.876323
Foreign body,Male,30 to 34,107.4715414
Foreign body,Male,35 to 39,130.5436369
Foreign body,Male,40 to 44,781.3292718
Foreign body,Male,45 to 49,112.6800173
Foreign body,Male,05 to 09,118.1344335
Foreign body,Male,50 to 54,260.7396486
Foreign body,Male,55 to 59,1080.970006
Foreign body,Male,60 to 64,182.4173819
Foreign body,Male,65 to 69,148.9722721
Foreign body,Male,70 to 74,990.2060387
Foreign body,Male,75 to 79,1349.162803
Foreign body,Male,80 plus,1946.975663
Foreign body,Male,0 to 04,8198.449492
Gallbladder and biliary diseases,Female,10 to 14,116.642478
Gallbladder and biliary diseases,Female,15 to 19,51.81419977
Gallbladder and biliary diseases,Female,20 to 24,77.73853046
Gallbladder and biliary diseases,Female,25 to 29,100.4295914
Gallbladder and biliary diseases,Female,30 to 34,114.8967565
Gallbladder and biliary diseases,Female,35 to 39,143.444484
Gallbladder and biliary diseases,Female,40 to 44,211.5553305
