cause_name,sex,age,ylds
Endocarditis,Female,45 to 49,86.66453828
Endocarditis,Female,05 to 09,26.34801346
Endocarditis,Female,50 to 54,110.1091934
Endocarditis,Female,55 to 59,111.270421
Endocarditis,Female,60 to 64,109.7428908
Endocarditis,Female,65 to 69,152.0660579
Endocarditis,Female,70 to 74,138.4136999
Endocarditis,Female,75 to 79,114.4991965
Endocarditis,Female,80 plus,101.7601408
Endocarditis,Female,0 to 04,19.51700687
Endocarditis,Male,10 to 14,16.65316213
Endocarditis,Male,15 to 19,50.09653345
Endocarditis,Male,20 to 24,48.60979369
Endocarditis,Male,25 to 29,75.26361127
Endocarditis,Male,30 to 34,76.69079794
Endocarditis,Male,35 to 39,70.18617404
Endocarditis,Male,40 to 44,85.39628045
Endocarditis,Male,45 to 49,131.75158
Endocarditis,Male,05 to 09,26.31136019
Endocarditis,Male,50 to 54,174.5244253
Endocarditis,Male,55 to 59,198.6039201
Endocarditis,Male,60 to 64,183.5943613
Endocarditis,Male,65 to 69,174.4735467
Endocarditis,Male,70 to 74,150.4639927
Endocarditis,Male,75 to 79,101.2467057
Endocarditis,Male,80 plus,82.08531717
Endocarditis,Male,0 to 04,28.10468359
"Endocrine, metabolic, blood, and immune disorders",Female,10 to 14,38226.683
"Endocrine, metabolic, blood, and immune disorders",Female,15 to 19,16243.45266
"Endocrine, metabolic, blood, and immune disorders",Female,20 to 24,15490.31394
"Endocrine, metabolic, blood, and immune disorders",Female,25 to 29,14559.25561
"Endocrine, metabolic, blood, and immune disorders",Female,30 to 34,13986.4332
"Endocrine, metabolic, blood, and immune disorders",Female,35 to 39,13489.79504
"Endocrine, metabolic, blood, and immune disorders",Female,40 to 44,12832.2206
"Endocrine, metabolic, blood, and immune disorders",Female,45 to 49,12248.60347
"Endocrine, metabolic, blood, and immune disorders",Female,05 to 09,44550.10592
"Endocrine, metabolic, blood, and immune disorders",Female,50 to 54,9247.864181
"Endocrine, metabolic, blood, and immune disorders",Female,55 to 59,8464.65607
"Endocrine, metabolic, blood, and immune disorders",Female,60 to 64,12486.55183
"Endocrine, metabolic, blood, and immune disorders",Female,65 to 69,8400.412418
"Endocrine, metabolic, blood, and immune disorders",Female,70 to 74,6315.1323
"Endocrine, metabolic, blood, and immune disorders",Female,75 to 79,3872.832904
"Endocrine, metabolic, blood, and immune disorders",Female,80 plus,3309.265514
"Endocrine, metabolic, blood, and immune disorders",Female,0 to 04,45826.85524
"Endocrine, metabolic, blood, and immune disorders",Male,10 to 14,44204.07821
"Endocrine, metabolic, blood, and immune disorders",Male,15 to 19,15245.85535
"Endocrine, metabolic, blood, and immune disorders",Male,20 to 24,9888.906804
"Endocrine, metabolic, blood, and immune disorders",Male,25 to 29,8928.349653
"Endocrine, metabolic, blood, and immune disorders",Male,30 to 34,9002.702551
"Endocrine, metabolic, blood, and immune disorders",Male,35 to 39,8712.318811
"Endocrine, metabolic, blood, and immune disorders",Male,40 to 44,8895.175875
"Endocrine, metabolic, blood, and immune disorders",Male,45 to 49,9010.416927
"Endocrine, metabolic, blood, and immune disorders",Male,05 to 09,53783.5859
"Endocrine, metabolic, blood, and immune disorders",Male,50 to 54,8822.325396
"Endocrine, metabolic, blood, and immune disorders",Male,55 to 59,8658.695622
"Endocrine, metabolic, blood, and immune disorders",Male,60 to 64,8858.748861
"Endocrine, metabolic, blood, and immune disorders",Male,65 to 69,5904.049396
"Endocrine, metabolic, blood, and immune disorders",Male,70 to 74,4468.392162
"Endocrine, metabolic, blood, and immune disorders",Male,75 to 79,2790.583762
"Endocrine, metabolic, blood, and immune disorders",Male,80 plus,2677.130162
"Endocrine, metabolic, blood, and immune disorders",Male,0 to 04,47105.34257
Epilepsy,Female,10 to 14,67034.74945
Epilepsy,Female,15 to 19,69101.00393
Epilepsy,Female,20 to 24,70351.7625
Epilepsy,Female,25 to 29,66092.68099
Epilepsy,Female,30 to 34,56906.03381
Epilepsy,Female,35 to 39,47826.63014
Epilepsy,Female,40 to 44,40575.59237
Epilepsy,Female,45 to 49,35278.39566
Epilepsy,Female,05 to 09,62213.66525
Epilepsy,Female,50 to 54,30581.66288
Epilepsy,Female,55 to 59,26170.25876
Epilepsy,Female,60 to 64,20202.15864
Epilepsy,Female,65 to 69,14212.05741
Epilepsy,Female,70 to 74,10674.66351
Epilepsy,Female,75 to 79,7192.640591
Epilepsy,Female,80 plus,4960.723483
Epilepsy,Female,0 to 04,56813.93769
Epilepsy,Male,10 to 14,89562.54509
Epilepsy,Male,15 to 19,91427.43236
Epilepsy,Male,20 to 24,89938.64101
Epilepsy,Male,25 to 29,81348.33345
Epilepsy,Male,30 to 34,67928.5238
Epilepsy,Male,35 to 39,55864.3112
Epilepsy,Male,40 to 44,46820.80279
Epilepsy,Male,45 to 49,40071.30014
Epilepsy,Male,05 to 09,82437.90252
Epilepsy,Male,50 to 54,33483.8381
Epilepsy,Male,55 to 59,28155.23483
Epilepsy,Male,60 to 64,21241.5031
Epilepsy,Male,65 to 69,14025.71325
Epilepsy,Male,70 to 74,9803.587243
Epilepsy,Male,75 to 79,5881.995537
Epilepsy,Male,80 plus,3706.142844
Epilepsy,Male,0 to 04,73574.86396
Esophageal cancer,Female,15 to 19,7.374596137
Esophageal cancer,Female,20 to 24,41.91131285
Esophageal cancer,Female,25 to 29,56.51695843
Esophageal cancer,Female,30 to 34,202.9158329
Esophageal cancer,Female,35 to 39,288.6982676
Esophageal cancer,Female,40 to 44,488.6484196
Esophageal cancer,Female,45 to 49,654.0082636
Esophageal cancer,Female,50 to 54,869.6217872
Esophageal cancer,Female,55 to 59,1057.456338
Esophageal cancer,Female,60 to 64,987.6098756
Esophageal cancer,Female,65 to 69,899.8029359
Esophageal cancer,Female,70 to 74,1033.657389
Esophageal cancer,Female,75 to 79,913.1692215
Esophageal cancer,Female,80 plus,788.9261142
Esophageal cancer,Male,15 to 19,55.39457685
Esophageal cancer,Male,20 to 24,68.32277235
Esophageal cancer,Male,25 to 29,83.07638122
Esophageal cancer,Male,30 to 34,132.7013052
Esophageal cancer,Male,35 to 39,290.5674871
Esophageal cancer,Male,40 to 44,500.5031641
Esophageal cancer,Male,45 to 49,855.1238136
Esophageal cancer,Male,50 to 54,1302.281692
Esophageal cancer,Male,55 to 59,1646.728389
Esophageal cancer,Male,60 to 64,1600.01161
Esophageal cancer,Male,65 to 69,1584.488153
Esophageal cancer,Male,70 to 74,1172.935369
Esophageal cancer,Male,75 to 79,565.586882
Esophageal cancer,Male,80 plus,496.5106753
Exposure to forces of nature,Female,10 to 14,369.8400917
Exposure to forces of nature,Female,15 to 19,741.5228094
Exposure to forces of nature,Female,20 to 24,1011.139772
Exposure to forces of nature,Female,25 to 29,888.7311376
Exposure to forces of nature,Female,30 to 34,760.6892724
Exposure to forces of nature,Female,35 to 39,852.0546747
Exposure to forces of nature,Female,40 to 44,929.8144243
Exposure to forces of nature,Female,45 to 49,1072.619619
Exposure to forces of nature,Female,05 to 09,38.58588021
Exposure to forces of nature,Female,50 to 54,928.8993975
Exposure to forces of nature,Female,55 to 59,808.1220485
Exposure to forces of nature,Female,60 to 64,642.7046472
Exposure to forces of nature,Female,65 to 69,482.1487433
Exposure to forces of nature,Female,70 to 74,359.0984633
Exposure to forces of nature,Female,75 to 79,234.6112516
Exposure to forces of nature,Female,80 plus,158.1053664
Exposure to forces of nature,Female,0 to 04,40.28465769
Exposure to forces of nature,Male,10 to 14,897.9210703
Exposure to forces of nature,Male,15 to 19,1041.688794
Exposure to forces of nature,Male,20 to 24,1273.402502
Exposure to forces of nature,Male,25 to 29,1222.960899
Exposure to forces of nature,Male,30 to 34,1231.00843
Exposure to forces of nature,Male,35 to 39,1334.008853
Exposure to forces of nature,Male,40 to 44,1468.430812
Exposure to forces of nature,Male,45 to 49,1711.882667
Exposure to forces of nature,Male,05 to 09,86.92430904
Exposure to forces of nature,Male,50 to 54,1544.199625
Exposure to forces of nature,Male,55 to 59,1423.512201
Exposure to forces of nature,Male,60 to 64,1111.766223
Exposure to forces of nature,Male,65 to 69,801.5336349
Exposure to forces of nature,Male,70 to 74,578.8609206
Exposure to forces of nature,Male,75 to 79,359.8481263
Exposure to forces of nature,Male,80 plus,232.6529493
Exposure to forces of nature,Male,0 to 04,52.90483057
Exposure to mechanical forces,Female,10 to 14,7869.53195
Exposure to mechanical forces,Female,15 to 19,9290.609523
Exposure to mechanical forces,Female,20 to 24,10671.00798
Exposure to mechanical forces,Female,25 to 29,12137.19803
Exposure to mechanical forces,Female,30 to 34,12848.05642
Exposure to mechanical forces,Female,35 to 39,12834.04892
Exposure to mechanical forces,Female,40 to 44,12262.05834
Exposure to mechanical forces,Female,45 to 49,11627.81658
Exposure to mechanical forces,Female,05 to 09,4911.535855
Exposure to mechanical forces,Female,50 to 54,10647.88785
Exposure to mechanical forces,Female,55 to 59,9636.152497
Exposure to mechanical forces,Female,60 to 64,7920.229816
Exposure to mechanical forces,Female,65 to 69,5981.424919
Exposure to mechanical forces,Female,70 to 74,4766.116558
Exposure to mechanical forces,Female,75 to 79,3423.577686
Exposure to mechanical forces,Female,80 plus,3522.740236
Exposure to mechanical forces,Female,0 to 04,1525.985669
Exposure to mechanical forces,Male,10 to 14,20967.51372
Exposure to mechanical forces,Male,15 to 19,27696.82101
Exposure to mechanical forces,Male,20 to 24,35391.77021
Exposure to mechanical forces,Male,25 to 29,42794.36725
Exposure to mechanical forces,Male,30 to 34,47138.13384
Exposure to mechanical forces,Male,35 to 39,47239.06536
Exposure to mechanical forces,Male,40 to 44,45236.41607
Exposure to mechanical forces,Male,45 to 49,43579.02955
Exposure to mechanical forces,Male,05 to 09,13308.20853
Exposure to mechanical forces,Male,50 to 54,40139.32574
Exposure to mechanical forces,Male,55 to 59,36144.15294
Exposure to mechanical forces,Male,60 to 64,28386.38979
Exposure to mechanical forces,Male,65 to 69,19360.18684
Exposure to mechanical forces,Male,70 to 74,14288.75426
Exposure to mechanical forces,Male,75 to 79,9353.096938
Exposure to mechanical forces,Male,80 plus,8874.592259
Exposure to mechanical forces,Male,0 to 04,4627.160918
Falls,Female,10 to 14,22650.71959
Falls,Female,15 to 19,30551.64845
Falls,Female,20 to 24,40000.30951
Falls,Female,25 to 29,47506.21854
Falls,Female,30 to 34,52287.1568
Falls,Female,35 to 39,57764.53424
Falls,Female,40 to 44,64086.33441
Falls,Female,45 to 49,72756.3037
Falls,Female,05 to 09,15996.10076
Falls,Female,50 to 54,81024.98949
Falls,Female,55 to 59,89295.61496
Falls,Female,60 to 64,88969.00063
Falls,Female,65 to 69,82209.4477
Falls,Female,70 to 74,83637.15199
Falls,Female,75 to 79,85008.55
Falls,Female,80 plus,165245.1635
Falls,Female,0 to 04,8171.339527
Falls,Male,10 to 14,36092.44537
Falls,Male,15 to 19,48084.85489
Falls,Male,20 to 24,61221.09862
Falls,Male,25 to 29,72532.62039
Falls,Male,30 to 34,81571.58825
Falls,Male,35 to 39,91581.98207
Falls,Male,40 to 44,101052.5123
Falls,Male,45 to 49,110217.9601
Falls,Male,05 to 09,24604.71619
Falls,Male,50 to 54,115526.361
Falls,Male,55 to 59,119977.6646
Falls,Male,60 to 64,109723.9827
Falls,Male,65 to 69,88712.37135
Falls,Male,70 to 74,80687.3211
Falls,Male,75 to 79,71880.01818
Falls,Male,80 plus,124642.517
Falls,Male,0 to 04,11884.32618
"Fire, heat, and hot substances",Female,10 to 14,7392.204634
"Fire, heat, and hot substances",Female,15 to 19,11640.18653
"Fire, heat, and hot substances",Female,20 to 24,17044.40493
"Fire, heat, and hot substances",Female,25 to 29,21725.73636
"Fire, heat, and hot substances",Female,30 to 34,25532.54129
"Fire, heat, and hot substances",Female,35 to 39,28512.091
"Fire, heat, and hot substances",Female,40 to 44,29703.97447
"Fire, heat, and hot substances",Female,45 to 49,29607.65424
"Fire, heat, and hot substances",Female,05 to 09,5075.890975
"Fire, heat, and hot substances",Female,50 to 54,27407.70098
"Fire, heat, and hot substances",Female,55 to 59,23634.41585
"Fire, heat, and hot substances",Female,60 to 64,17931.8752
"Fire, heat, and hot substances",Female,65 to 69,12612.09049
"Fire, heat, and hot substances",Female,70 to 74,9610.30113
"Fire, heat, and hot substances",Female,75 to 79,6789.887929
"Fire, heat, and hot substances",Female,80 plus,7978.377885
"Fire, heat, and hot substances",Female,0 to 04,4049.253206
"Fire, heat, and hot substances",Male,10 to 14,10070.33918
"Fire, heat, and hot substances",Male,15 to 19,12938.92496
"Fire, heat, and hot substances",Male,20 to 24,16806.5873
"Fire, heat, and hot substances",Male,25 to 29,20638.34575
"Fire, heat, and hot substances",Male,30 to 34,24001.98332
"Fire, heat, and hot substances",Male,35 to 39,26617.56291
"Fire, heat, and hot substances",Male,40 to 44,27627.18575
"Fire, heat, and hot substances",Male,45 to 49,26689.25887
"Fire, heat, and hot substances",Male,05 to 09,8624.262914
"Fire, heat, and hot substances",Male,50 to 54,23805.7178
"Fire, heat, and hot substances",Male,55 to 59,20534.76207
"Fire, heat, and hot substances",Male,60 to 64,15321.11847
"Fire, heat, and hot substances",Male,65 to 69,10182.31693
"Fire, heat, and hot substances",Male,70 to 74,7587.483527
"Fire, heat, and hot substances",Male,75 to 79,5151.072725
"Fire, heat, and hot substances",Male,80 plus,6104.182767
"Fire, heat, and hot substances",Male,0 to 04,7829.117181
Foreign body,Female,10 to 14,552.8971981
Foreign body,Female,15 to 19,792.0158376
Foreign body,Female,20 to 24,1135.518999
Foreign body,Female,25 to 29,1425.171501
Foreign body,Female,30 to 34,1571.001853
Foreign body,Female,35 to 39,1617.455104
Foreign body,Female,40 to 44,1535.747309
Foreign body,Female,45 to 49,1440.745
Foreign body,Female,05 to 09,516.0394757
Foreign body,Female,50 to 54,1307.733173
Foreign body,Female,55 to 59,1181.18887
Foreign body,Female,60 to 64,1013.09601
Foreign body,Female,65 to 69,846.0858725
Foreign body,Female,70 to 74,927.9572963
Foreign body,Female,75 to 79,1050.299569
Foreign body,Female,80 plus,1487.299645
Foreign body,Female,0 to 04,649.0840735
Foreign body,Male,10 to 14,947.8400122
Foreign body,Male,15 to 19,1428.3203
Foreign body,Male,20 to 24,2059.885327
Foreign body,Male,25 to 29,2743.916219
Foreign body,Male,30 to 34,3202.833391
Foreign body,Male,35 to 39,3375.647316
Foreign body,Male,40 to 44,3221.533726
Foreign body,Male,45 to 49,3311.268426
Foreign body,Male,05 to 09,837.5152617
Foreign body,Male,50 to 54,3378.03346
Foreign body,Male,55 to 59,3471.4783
Foreign body,Male,60 to 64,3016.028232
Foreign body,Male,65 to 69,2107.086472
Foreign body,Male,70 to 74,1658.177302
Foreign body,Male,75 to 79,1283.450721
Foreign body,Male,80 plus,1530.429101
Foreign body,Male,0 to 04,793.4679091
Gallbladder and biliary diseases,Female,10 to 14,657.5173165
Gallbladder and biliary diseases,Female,15 to 19,708.6761571
Gallbladder and biliary diseases,Female,20 to 24,1288.510796
Gallbladder and biliary diseases,Female,25 to 29,2494.385964
Gallbladder and biliary diseases,Female,30 to 34,3357.986525
Gallbladder and biliary diseases,Female,35 to 39,4005.695334
Gallbladder and biliary diseases,Female,40 to 44,4843.257928
Gallbladder and biliary diseases,Female,45 to 49,6030.493192
Gallbladder and biliary diseases,Female,05 to 09,578.7163047
Gallbladder and biliary diseases,Female,50 to 54,6826.560488
Gallbladder and biliary diseases,Female,55 to 59,7274.179277
Gallbladder and biliary diseases,Female,60 to 64,6475.784273
Gallbladder and biliary diseases,Female,65 to 69,4880.746807
Gallbladder and biliary diseases,Female,70 to 74,3992.464103
Gallbladder and biliary diseases,Female,75 to 79,3003.642076
Gallbladder and biliary diseases,Female,80 plus,2954.764315
Gallbladder and biliary diseases,Female,0 to 04,426.4029895
Gallbladder and biliary diseases,Male,10 to 14,332.9637712
Gallbladder and biliary diseases,Male,15 to 19,367.4703635
Gallbladder and biliary diseases,Male,20 to 24,584.4550201
Gallbladder and biliary diseases,Male,25 to 29,1048.70157
Gallbladder and biliary diseases,Male,30 to 34,1458.801371
Gallbladder and biliary diseases,Male,35 to 39,1843.071306
Gallbladder and biliary diseases,Male,40 to 44,2443.318598
Gallbladder and biliary diseases,Male,45 to 49,3317.308624
Gallbladder and biliary diseases,Male,05 to 09,286.097508
Gallbladder and biliary diseases,Male,50 to 54,3692.445081
Gallbladder and biliary diseases,Male,55 to 59,3603.553457
Gallbladder and biliary diseases,Male,60 to 64,3064.967675
Gallbladder and biliary diseases,Male,65 to 69,2321.60938
Gallbladder and biliary diseases,Male,70 to 74,1881.70086
Gallbladder and biliary diseases,Male,75 to 79,1319.261679
Gallbladder and biliary diseases,Male,80 plus,1187.705091
Gallbladder and biliary diseases,Male,0 to 04,198.382252
Gallbladder and biliary tract cancer,Female,15 to 19,3.009724475
Gallbladder and biliary tract cancer,Female,20 to 24,7.071018914
Gallbladder and biliary tract cancer,Female,25 to 29,14.66286763
Gallbladder and biliary tract cancer,Female,30 to 34,25.71862293
Gallbladder and biliary tract cancer,Female,35 to 39,79.22045204
Gallbladder and biliary tract cancer,Female,40 to 44,131.1629115
Gallbladder and biliary tract cancer,Female,45 to 49,200.7943574
Gallbladder and biliary tract cancer,Female,50 to 54,207.2509039
Gallbladder and biliary tract cancer,Female,55 to 59,253.6752507
Gallbladder and biliary tract cancer,Female,60 to 64,231.7631646
Gallbladder and biliary tract cancer,Female,65 to 69,168.5593793
Gallbladder and biliary tract cancer,Female,70 to 74,131.0554311
Gallbladder and biliary tract cancer,Female,75 to 79,79.26938882
Gallbladder and biliary tract cancer,Female,80 plus,110.117029
Gallbladder and biliary tract cancer,Male,15 to 19,2.958756441
Gallbladder and biliary tract cancer,Male,20 to 24,6.48323302
Gallbladder and biliary tract cancer,Male,25 to 29,16.67227649
Gallbladder and biliary tract cancer,Male,30 to 34,28.79104053
Gallbladder and biliary tract cancer,Male,35 to 39,48.81854676
Gallbladder and biliary tract cancer,Male,40 to 44,80.68870259
Gallbladder and biliary tract cancer,Male,45 to 49,112.4565925
Gallbladder and biliary tract cancer,Male,50 to 54,152.7082492
Gallbladder and biliary tract cancer,Male,55 to 59,234.9869826
Gallbladder and biliary tract cancer,Male,60 to 64,200.1254281
Gallbladder and biliary tract cancer,Male,65 to 69,161.7549259
Gallbladder and biliary tract cancer,Male,70 to 74,112.771781
Gallbladder and biliary tract cancer,Male,75 to 79,71.88263136
Gallbladder and biliary tract cancer,Male,80 plus,76.58871325
Gastritis and duodenitis,Female,10 to 14,39882.0988
Gastritis and duodenitis,Female,15 to 19,16335.25559
Gastritis and duodenitis,Female,20 to 24,10911.54136
Gastritis and duodenitis,Female,25 to 29,15492.4614
Gastritis and duodenitis,Female,30 to 34,18228.55098
Gastritis and duodenitis,Female,35 to 39,19233.50049
Gastritis and duodenitis,Female,40 to 44,24014.02939
Gastritis and duodenitis,Female,45 to 49,28093.56912
Gastritis and duodenitis,Female,05 to 09,34369.31527
Gastritis and duodenitis,Female,50 to 54,26737.72904
Gastritis and duodenitis,Female,55 to 59,27926.56248
Gastritis and duodenitis,Female,60 to 64,32206.42219
Gastritis and duodenitis,Female,65 to 69,30397.85089
Gastritis and duodenitis,Female,70 to 74,32070.75984
Gastritis and duodenitis,Female,75 to 79,27155.10497
Gastritis and duodenitis,Female,80 plus,26007.51562
Gastritis and duodenitis,Female,0 to 04,3511.537952
Gastritis and duodenitis,Male,10 to 14,16685.40575
Gastritis and duodenitis,Male,15 to 19,2876.579836
Gastritis and duodenitis,Male,20 to 24,1613.272876
Gastritis and duodenitis,Male,25 to 29,2486.583138
Gastritis and duodenitis,Male,30 to 34,3087.041524
Gastritis and duodenitis,Male,35 to 39,3303.175367
Gastritis and duodenitis,Male,40 to 44,4298.690605
Gastritis and duodenitis,Male,45 to 49,5549.709254
Gastritis and duodenitis,Male,05 to 09,17534.6527
Gastritis and duodenitis,Male,50 to 54,7475.7899
Gastritis and duodenitis,Male,55 to 59,7910.652741
Gastritis and duodenitis,Male,60 to 64,8459.463311
Gastritis and duodenitis,Male,65 to 69,6996.419515
Gastritis and duodenitis,Male,70 to 74,7708.752716
Gastritis and duodenitis,Male,75 to 79,6866.208174
Gastritis and duodenitis,Male,80 plus,7037.011471
Gastritis and duodenitis,Male,0 to 04,2562.53343
Gout,Female,15 to 19,1.712702506
Gout,Female,20 to 24,11.16769931
Gout,Female,25 to 29,28.61206974
Gout,Female,30 to 34,48.73714208
Gout,Female,35 to 39,66.69724426
Gout,Female,40 to 44,83.55835
Gout,Female,45 to 49,106.6025339
Gout,Female,50 to 54,126.5443456
Gout,Female,55 to 59,136.3475478
Gout,Female,60 to 64,126.3350957
Gout,Female,65 to 69,105.6506535
Gout,Female,70 to 74,91.1055222
Gout,Female,75 to 79,66.67975262
Gout,Female,80 plus,59.29217093
Gout,Male,15 to 19,6.718633085
Gout,Male,20 to 24,44.68809804
Gout,Male,25 to 29,115.4370692
Gout,Male,30 to 34,200.2845091
Gout,Male,35 to 39,279.9394814
Gout,Male,40 to 44,355.0446092
Gout,Male,45 to 49,449.4530258
Gout,Male,50 to 54,525.3801634
Gout,Male,55 to 59,522.2600069
Gout,Male,60 to 64,448.9244288
Gout,Male,65 to 69,340.3711478
Gout,Male,70 to 74,269.1191381
Gout,Male,75 to 79,181.5411126
Gout,Male,80 plus,151.5820472
Gynecological diseases,Female,15 to 19,100036.1642
Gynecological diseases,Female,20 to 24,215842.3725
Gynecological diseases,Female,25 to 29,244622.2893
Gynecological diseases,Female,30 to 34,256021.9866
Gynecological diseases,Female,35 to 39,250216.3262
Gynecological diseases,Female,40 to 44,259098.7305
Gynecological diseases,Female,45 to 49,214555.4937
Gynecological diseases,Female,50 to 54,72914.60725
Gynecological diseases,Female,55 to 59,26200.23481
Gynecological diseases,Female,60 to 64,7700.195749
Gynecological diseases,Female,65 to 69,3770.71509
Gynecological diseases,Female,70 to 74,1974.173547
Gynecological diseases,Female,75 to 79,933.5966361
Gynecological diseases,Female,80 plus,384.8236605
Hemoglobinopathies and hemolytic anemias,Female,10 to 14,114166.1378
Hemoglobinopathies and hemolytic anemias,Female,15 to 19,67196.35645
Hemoglobinopathies and hemolytic anemias,Female,20 to 24,59935.26638
Hemoglobinopathies and hemolytic anemias,Female,25 to 29,58355.12995
Hemoglobinopathies and hemolytic anemias,Female,30 to 34,56183.27532
Hemoglobinopathies and hemolytic anemias,Female,35 to 39,50050.30696
Hemoglobinopathies and hemolytic anemias,Female,40 to 44,44480.10821
Hemoglobinopathies and hemolytic anemias,Female,45 to 49,37434.2904
Hemoglobinopathies and hemolytic anemias,Female,05 to 09,130490.1273
Hemoglobinopathies and hemolytic anemias,Female,50 to 54,25474.67726
Hemoglobinopathies and hemolytic anemias,Female,55 to 59,20483.89721
Hemoglobinopathies and hemolytic anemias,Female,60 to 64,28004.44673
Hemoglobinopathies and hemolytic anemias,Female,65 to 69,16548.809
Hemoglobinopathies and hemolytic anemias,Female,70 to 74,11956.12637
Hemoglobinopathies and hemolytic anemias,Female,75 to 79,7532.625194
Hemoglobinopathies and hemolytic anemias,Female,80 plus,8039.734248
Hemoglobinopathies and hemolytic anemias,Female,0 to 04,91821.73469
Hemoglobinopathies and hemolytic anemias,Male,10 to 14,89248.59103
Hemoglobinopathies and hemolytic anemias,Male,15 to 19,38660.48341
Hemoglobinopathies and hemolytic anemias,Male,20 to 24,25257.93259
Hemoglobinopathies and hemolytic anemias,Male,25 to 29,22047.41687
Hemoglobinopathies and hemolytic anemias,Male,30 to 34,20118.71211
Hemoglobinopathies and hemolytic anemias,Male,35 to 39,17736.20091
Hemoglobinopathies and hemolytic anemias,Male,40 to 44,17095.15992
Hemoglobinopathies and hemolytic anemias,Male,45 to 49,15485.18457
Hemoglobinopathies and hemolytic anemias,Male,05 to 09,108220.2006
Hemoglobinopathies and hemolytic anemias,Male,50 to 54,13997.90911
Hemoglobinopathies and hemolytic anemias,Male,55 to 59,12021.94617
Hemoglobinopathies and hemolytic anemias,Male,60 to 64,10956.63886
Hemoglobinopathies and hemolytic anemias,Male,65 to 69,6260.406805
Hemoglobinopathies and hemolytic anemias,Male,70 to 74,4884.742124
Hemoglobinopathies and hemolytic anemias,Male,75 to 79,3131.662254
Hemoglobinopathies and hemolytic anemias,Male,80 plus,4246.667096
Hemoglobinopathies and hemolytic anemias,Male,0 to 04,109959.2101
Hemolytic disease and other neonatal jaundice,Female,10 to 14,28014.62366
Hemolytic disease and other neonatal jaundice,Female,15 to 19,24662.66206
Hemolytic disease and other neonatal jaundice,Female,20 to 24,22603.68594
Hemolytic disease and other neonatal jaundice,Female,25 to 29,20121.88594
Hemolytic disease and other neonatal jaundice,Female,30 to 34,17628.62744
Hemolytic disease and other neonatal jaundice,Female,35 to 39,15227.09694
Hemolytic disease and other neonatal jaundice,Female,40 to 44,13000.95166
Hemolytic disease and other neonatal jaundice,Female,45 to 49,10720.09301
Hemolytic disease and other neonatal jaundice,Female,05 to 09,31231.64491
Hemolytic disease and other neonatal jaundice,Female,50 to 54,8302.319066
Hemolytic disease and other neonatal jaundice,Female,55 to 59,5997.029191
Hemolytic disease and other neonatal jaundice,Female,60 to 64,3538.751009
Hemolytic disease and other neonatal jaundice,Female,65 to 69,1705.348518
Hemolytic disease and other neonatal jaundice,Female,70 to 74,792.3213681
Hemolytic disease and other neonatal jaundice,Female,75 to 79,221.8649981
Hemolytic disease and other neonatal jaundice,Female,80 plus,20.5254902
Hemolytic disease and other neonatal jaundice,Female,0 to 04,39521.72804
Hemolytic disease and other neonatal jaundice,Male,10 to 14,30218.16737
Hemolytic disease and other neonatal jaundice,Male,15 to 19,26696.44062
Hemolytic disease and other neonatal jaundice,Male,20 to 24,23765.18693
Hemolytic disease and other neonatal jaundice,Male,25 to 29,21362.80316
Hemolytic disease and other neonatal jaundice,Male,30 to 34,18491.993
Hemolytic disease and other neonatal jaundice,Male,35 to 39,15477.89942
Hemolytic disease and other neonatal jaundice,Male,40 to 44,12560.59213
Hemolytic disease and other neonatal jaundice,Male,45 to 49,9703.12702
Hemolytic disease and other neonatal jaundice,Male,05 to 09,34199.42571
Hemolytic disease and other neonatal jaundice,Male,50 to 54,6813.557989
Hemolytic disease and other neonatal jaundice,Male,55 to 59,4244.841349
Hemolytic disease and other neonatal jaundice,Male,60 to 64,2173.11737
Hemolytic disease and other neonatal jaundice,Male,65 to 69,921.7202101
Hemolytic disease and other neonatal jaundice,Male,70 to 74,314.4241591
Hemolytic disease and other neonatal jaundice,Male,75 to 79,62.54612233
Hemolytic disease and other neonatal jaundice,Male,80 plus,3.943200954
Hemolytic disease and other neonatal jaundice,Male,0 to 04,42542.21122
Hepatitis,Female,10 to 14,4226.69384
Hepatitis,Female,15 to 19,4697.404464
Hepatitis,Female,20 to 24,4458.482912
Hepatitis,Female,25 to 29,3887.413193
Hepatitis,Female,30 to 34,3392.454214
Hepatitis,Female,35 to 39,2878.442332
Hepatitis,Female,40 to 44,2227.259627
Hepatitis,Female,45 to 49,1725.604926
Hepatitis,Female,05 to 09,2535.727719
Hepatitis,Female,50 to 54,1338.847061
Hepatitis,Female,55 to 59,1022.363474
Hepatitis,Female,60 to 64,720.0568432
Hepatitis,Female,65 to 69,459.6631289
Hepatitis,Female,70 to 74,305.8407627
Hepatitis,Female,75 to 79,179.9569658
Hepatitis,Female,80 plus,115.6770954
Hepatitis,Female,0 to 04,570.8535248
Hepatitis,Male,10 to 14,4880.846747
Hepatitis,Male,15 to 19,5538.404076
Hepatitis,Male,20 to 24,5243.002314
Hepatitis,Male,25 to 29,4613.894288
Hepatitis,Male,30 to 34,4126.633278
Hepatitis,Male,35 to 39,3539.729349
Hepatitis,Male,40 to 44,2763.32356
Hepatitis,Male,45 to 49,2166.547871
Hepatitis,Male,05 to 09,2928.280194
Hepatitis,Male,50 to 54,1670.586067
Hepatitis,Male,55 to 59,1251.567454
